avg_income	median_age	median_networth
22280	29.7	10817
62058	31.5	121355
44002	48.4	45214
51960	42.5	152895
36612	39.5	12492
31847	44.7	29089
29706	47.5	20718
31253	38.5	11875
33310	48.3	42462
23851	46.2	14804
28103	38.4	18759
26541	43.9	15589
32532	27.4	9222
36285	41.4	23209
31029	27.5	9227
48940	49.4	191114
42502	36.6	34269
40356	37.7	31631
35732	40.2	47722
45457	37.6	91182
41601	36.6	85512
54571	43	193992
32878	27.6	12625
38864	32.5	18560
36106	36.4	29255
48448	38.5	133579
61451	41.6	203049
56878	37.3	138047
50772	36	40672
50287	32	47980
35870	35.9	24819
39061	36.7	34106
41672	39.7	108951
42261	50.3	65386
40465	37.4	63609
41049	33.6	73486
46360	44.1	147277
37877	43.4	83274
14945	19.5	8317
22557	41.5	14118
23889	48.4	12148
25039	38.2	11385
28275	35.8	12358
24870	43.6	11453
22426	48.4	10098
34797	34.5	40271
25203	34.6	12619
39834	39.8	30675
15102	28.2	9077
24474	34.2	12201
28940	33.9	13944
29139	41.7	14503
18580	39.2	11005
21966	36.6	12904
29077	42.9	40480
47091	39.2	58366
33666	40.1	25483
24938	39	14688
36441	42.2	55060
33990	30.4	12650
35124	37.5	13150
27026	28.6	11765
28343	38.2	12578
23024	22.7	13519
28495	52.2	12159
43820	45.6	68905
50095	31	39252
43923	27.9	12120
84141	37.8	127089
47599	33.7	16125
80105	33.5	108410
